subject,predicate,object,valid_from,valid_to,source_document,source_clause,version
investor:6385_54462,notices_email,n/a,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4051_19550,rdf:type,LP,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4051_19550,name,Cantley Thurford Trentfield Lanbeck Yardgarth,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4051_19550,invests_in,entity:2254,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4051_19550,target_account_id,36914,2021-11-30,,Investors List (Corvus),,v1
investor:4051_19550,commitment,27760000.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4051_19550,commitment_share,0.154223,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4051_19550,called_31mar2026,18044000.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4051_19550,unfunded_31mar2026,9716000.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4051_19550,mgmt_fee_rate_pa,0.01,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4051_19550,fee_basis,Commitment,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4051_19550,fee_inside_commitment,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4051_19550,fee_offset_pct,0.8,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4051_19550,fee_exempt,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4051_19550,mfn,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4051_19550,cas_deadline_days,60,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4051_19550,notices_contact,Investor of record (subscription form),2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4051_19550,notices_email,n/a,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:3858_92723,rdf:type,LP,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:3858_92723,name,CIK Investment Wickdale Private Holdings (4) Inc.,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:3858_92723,invests_in,entity:2254,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:3858_92723,target_account_id,69354,2021-11-30,,Investors List (Corvus),,v1
investor:3858_92723,commitment,21103000.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:3858_92723,commitment_share,0.11724,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:3858_92723,called_31mar2026,13716950.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:3858_92723,unfunded_31mar2026,7386050.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:3858_92723,mgmt_fee_rate_pa,0.01,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:3858_92723,fee_basis,Commitment,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:3858_92723,fee_inside_commitment,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:3858_92723,fee_offset_pct,0.8,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:3858_92723,fee_exempt,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:3858_92723,mfn,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:3858_92723,cas_deadline_days,60,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:3858_92723,notices_contact,Investor of record (subscription form),2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:3858_92723,notices_email,n/a,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6247_11149,rdf:type,LP,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6247_11149,name,NUV16SUN Penmont Ltd.,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6247_11149,invests_in,entity:2254,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6247_11149,target_account_id,51374,2021-11-30,,Investors List (Corvus),,v1
investor:6247_11149,commitment,16900000.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6247_11149,commitment_share,0.093889,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6247_11149,called_31mar2026,10985000.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6247_11149,unfunded_31mar2026,5915000.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6247_11149,mgmt_fee_rate_pa,0.01,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6247_11149,fee_basis,Commitment,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6247_11149,fee_inside_commitment,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6247_11149,fee_offset_pct,0.8,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6247_11149,fee_exempt,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6247_11149,mfn,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6247_11149,cas_deadline_days,60,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6247_11149,notices_contact,Investor of record (subscription form),2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6247_11149,notices_email,n/a,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4108_63195,rdf:type,LP,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4108_63195,name,Thurford of Davgarth Investment Wickdale,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4108_63195,invests_in,entity:2254,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4108_63195,target_account_id,91012,2021-11-30,,Investors List (Corvus),,v1
investor:4108_63195,commitment,14959000.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4108_63195,commitment_share,0.083106,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4108_63195,called_31mar2026,9723350.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4108_63195,unfunded_31mar2026,5235650.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4108_63195,mgmt_fee_rate_pa,0.01,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4108_63195,fee_basis,Commitment,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4108_63195,fee_inside_commitment,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4108_63195,fee_offset_pct,0.8,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4108_63195,fee_exempt,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4108_63195,mfn,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4108_63195,cas_deadline_days,60,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4108_63195,notices_contact,Investor of record (subscription form),2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4108_63195,notices_email,n/a,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:7335_02891,rdf:type,LP,2024-03-15,,Side letter SL-TRENTCOMBE-2024-01 dated 2024-03-15,"2(a), 2(b), 4",v1
investor:7335_02891,name,Trentcombe Fund Investors LLC,2024-03-15,,Side letter SL-TRENTCOMBE-2024-01 dated 2024-03-15,"2(a), 2(b), 4",v1
investor:7335_02891,invests_in,entity:2254,2024-03-15,,Side letter SL-TRENTCOMBE-2024-01 dated 2024-03-15,"2(a), 2(b), 4",v1
investor:7335_02891,target_account_id,18550,2024-03-15,,Investors List (Corvus),,v1
investor:7335_02891,commitment,13916000.0,2024-03-15,,Side letter SL-TRENTCOMBE-2024-01 dated 2024-03-15,"2(a), 2(b), 4",v1
investor:7335_02891,commitment_share,0.077312,2024-03-15,,Side letter SL-TRENTCOMBE-2024-01 dated 2024-03-15,"2(a), 2(b), 4",v1
investor:7335_02891,called_31mar2026,9045400.0,2024-03-15,,Side letter SL-TRENTCOMBE-2024-01 dated 2024-03-15,"2(a), 2(b), 4",v1
investor:7335_02891,unfunded_31mar2026,4870600.0,2024-03-15,,Side letter SL-TRENTCOMBE-2024-01 dated 2024-03-15,"2(a), 2(b), 4",v1
investor:7335_02891,mgmt_fee_rate_pa,0.0085,2024-03-15,,Side letter SL-TRENTCOMBE-2024-01 dated 2024-03-15,"2(a), 2(b), 4",v1
investor:7335_02891,fee_basis,Commitment,2024-03-15,,Side letter SL-TRENTCOMBE-2024-01 dated 2024-03-15,"2(a), 2(b), 4",v1
investor:7335_02891,fee_inside_commitment,Y,2024-03-15,,Side letter SL-TRENTCOMBE-2024-01 dated 2024-03-15,"2(a), 2(b), 4",v1
investor:7335_02891,fee_offset_pct,0.8,2024-03-15,,Side letter SL-TRENTCOMBE-2024-01 dated 2024-03-15,"2(a), 2(b), 4",v1
investor:7335_02891,fee_exempt,N,2024-03-15,,Side letter SL-TRENTCOMBE-2024-01 dated 2024-03-15,"2(a), 2(b), 4",v1
investor:7335_02891,mfn,Y,2024-03-15,,Side letter SL-TRENTCOMBE-2024-01 dated 2024-03-15,"2(a), 2(b), 4",v1
investor:7335_02891,cas_deadline_days,60,2024-03-15,,Side letter SL-TRENTCOMBE-2024-01 dated 2024-03-15,"2(a), 2(b), 4",v1
investor:7335_02891,notices_contact,"Morgan Ashby, Fund Operations",2024-03-15,,Side letter SL-TRENTCOMBE-2024-01 dated 2024-03-15,"2(a), 2(b), 4",v1
investor:7335_02891,notices_email,m.ashby@trentcombe-fi.example,2024-03-15,,Side letter SL-TRENTCOMBE-2024-01 dated 2024-03-15,"2(a), 2(b), 4",v1
investor:4130_22337,rdf:type,LP,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4130_22337,name,Selstead TUW-Zellley,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4130_22337,invests_in,entity:2254,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4130_22337,target_account_id,99927,2021-11-30,,Investors List (Corvus),,v1
investor:4130_22337,commitment,10200000.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4130_22337,commitment_share,0.056667,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4130_22337,called_31mar2026,6630000.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4130_22337,unfunded_31mar2026,3570000.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4130_22337,mgmt_fee_rate_pa,0.01,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4130_22337,fee_basis,Commitment,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4130_22337,fee_inside_commitment,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4130_22337,fee_offset_pct,0.8,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4130_22337,fee_exempt,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4130_22337,mfn,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4130_22337,cas_deadline_days,60,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4130_22337,notices_contact,Investor of record (subscription form),2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4130_22337,notices_email,n/a,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4324_22834,rdf:type,LP,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4324_22834,name,"Oakbeck Investments Private Equity Fund, L.P.",2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4324_22834,invests_in,entity:2254,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4324_22834,target_account_id,10213,2021-11-30,,Investors List (Corvus),,v1
investor:4324_22834,commitment,7034000.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4324_22834,commitment_share,0.039078,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4324_22834,called_31mar2026,4572100.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4324_22834,unfunded_31mar2026,2461900.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4324_22834,mgmt_fee_rate_pa,0.01,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4324_22834,fee_basis,Commitment,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4324_22834,fee_inside_commitment,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4324_22834,fee_offset_pct,0.8,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4324_22834,fee_exempt,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4324_22834,mfn,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4324_22834,cas_deadline_days,60,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4324_22834,notices_contact,Investor of record (subscription form),2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:4324_22834,notices_email,n/a,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:5719_43500,rdf:type,LP,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:5719_43500,name,"Eddwick Co-Investment Holdings V, L.P.",2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:5719_43500,invests_in,entity:2254,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:5719_43500,target_account_id,35124,2021-11-30,,Investors List (Corvus),,v1
investor:5719_43500,commitment,7034000.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:5719_43500,commitment_share,0.039078,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:5719_43500,called_31mar2026,4572100.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:5719_43500,unfunded_31mar2026,2461900.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:5719_43500,mgmt_fee_rate_pa,0.01,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:5719_43500,fee_basis,Commitment,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:5719_43500,fee_inside_commitment,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:5719_43500,fee_offset_pct,0.8,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:5719_43500,fee_exempt,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:5719_43500,mfn,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:5719_43500,cas_deadline_days,60,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:5719_43500,notices_contact,Investor of record (subscription form),2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:5719_43500,notices_email,n/a,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:0386_00038,rdf:type,LP,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:0386_00038,name,Thurford Wrenmere Steenvale Limited as covwold of Lindcombe Lanbeck NODE,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:0386_00038,invests_in,entity:2254,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:0386_00038,target_account_id,34016,2021-11-30,,Investors List (Corvus),,v1
investor:0386_00038,commitment,6958000.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:0386_00038,commitment_share,0.038656,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:0386_00038,called_31mar2026,4522700.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:0386_00038,unfunded_31mar2026,2435300.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:0386_00038,mgmt_fee_rate_pa,0.01,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:0386_00038,fee_basis,Commitment,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:0386_00038,fee_inside_commitment,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:0386_00038,fee_offset_pct,0.8,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:0386_00038,fee_exempt,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:0386_00038,mfn,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:0386_00038,cas_deadline_days,60,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:0386_00038,notices_contact,Investor of record (subscription form),2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:0386_00038,notices_email,n/a,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:2215_32092,rdf:type,LP,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
